PSP_Time_UTC,PSP_Vr_kms,PSP_Lon_deg,PSP_Radius_Rs,PSP_Lat_deg,Earth_Arrival_UTC,Earth_Vr_kms,Earth_Lon_deg,Earth_Radius_Rs,Earth_Lat_deg
2024-12-23 10:52:30+00:00,188.25149568346723,153.28744746054076,18.39538417560066,0.0,2024-12-31 20:43:58.526071821+00:00,403.3823714945795,153.28744746054076,215.03215567054764,0.0
2024-12-23 11:07:30+00:00,189.89039703854252,153.55373791137504,18.27975230640197,0.0,2024-12-31 19:21:30.280262583+00:00,403.98974466014937,153.55373791137507,215.03215567054764,0.0
2024-12-23 11:22:30+00:00,180.7500690126589,153.8252916627914,18.164135437091232,0.0,2025-01-01 05:51:27.368646999+00:00,404.61196194810253,153.8252916627914,215.03215567054764,0.0
2024-12-23 11:37:30+00:00,176.62383041503284,154.10220901528976,18.048540015603265,0.0,2025-01-01 11:09:04.742454192+00:00,405.51871965328917,154.10220901528976,215.03215567054764,0.0
2024-12-23 11:52:30+00:00,177.6228863930156,154.38459252682907,17.932972733571496,0.0,2025-01-01 10:18:53.297613196+00:00,406.17196503975225,154.38459252682907,215.03215567054764,0.0
2024-12-23 12:07:30+00:00,171.9338432270839,154.6725470487554,17.81744053656008,0.0,2025-01-01 17:47:24.593405926+00:00,407.1132178013219,154.6725470487554,215.03215567054764,0.0
2024-12-23 12:22:30+00:00,175.5338014719734,154.9661797796002,17.701950632248124,0.0,2025-01-01 13:37:16.541133015+00:00,407.79765227986945,154.9661797796002,215.03215567054764,0.0
2024-12-23 12:37:30+00:00,172.17455449004154,155.26560030399438,17.586510501185213,0.0,2025-01-01 18:14:22.056207588+00:00,408.4969418359626,155.26560030399438,215.03215567054764,0.0
2024-12-23 12:52:30+00:00,168.5182177819063,155.57092064377807,17.471127905785544,0.0,2025-01-01 23:25:48.508131754+00:00,409.4895755102589,155.57092064377807,215.03215567054764,0.0
2024-12-23 13:07:30+00:00,166.8288292988314,155.88225530262403,17.355810900856284,0.0,2025-01-02 02:06:28.536896018+00:00,410.22018733752907,155.88225530262403,215.03215567054764,0.0
2024-12-23 13:22:30+00:00,169.41908388981636,156.1997213027532,17.240567845600285,0.0,2025-01-01 22:59:18.427117384+00:00,411.31190863595265,156.1997213027532,215.03215567054764,0.0
2024-12-23 13:37:30+00:00,173.16069418022283,156.5234382465935,17.125407411569228,0.0,2025-01-01 18:29:31.118078172+00:00,412.26836949594457,156.5234382465935,215.03215567054764,0.0
2024-12-23 13:52:30+00:00,176.76152861773514,156.85352833980562,17.010338597771394,0.0,2025-01-01 14:22:06.480927921+00:00,413.53051910290435,156.85352833980562,215.03215567054764,0.0
2024-12-23 14:07:30+00:00,158.89272819039485,157.1901164443808,16.895370740330254,0.0,2025-01-02 15:06:17.185452940+00:00,414.5262659323118,157.1901164443808,215.03215567054764,0.0
2024-12-23 14:22:30+00:00,173.45727728031568,157.53333012474414,16.780513523800902,0.0,2025-01-01 19:14:54.888724387+00:00,415.5408023853554,157.53333012474414,215.03215567054764,0.0
2024-12-23 14:37:30+00:00,167.09963760739444,157.88329966612952,16.665776997860988,0.0,2025-01-02 04:02:05.457413208+00:00,416.8681173128299,157.88329966612952,215.03215567054764,0.0
2024-12-23 14:52:30+00:00,169.31343906510853,158.2401581367255,16.55117158508611,0.0,2025-01-02 01:24:57.905651816+00:00,417.9226091485268,158.2401581367255,215.03215567054764,0.0
2024-12-23 15:07:30+00:00,157.67752455643125,158.6040414110995,16.436708097080047,0.0,2025-01-02 18:31:26.821103912+00:00,419.2951890144977,158.6040414110995,215.03215567054764,0.0
2024-12-23 15:22:30+00:00,141.3679089013466,158.97508818726956,16.322397751797325,0.0,2025-01-03 23:00:40.807457206+00:00,420.431689298019,158.97508818726956,215.03215567054764,0.0
2024-12-23 15:37:30+00:00,144.3685211787087,159.35344005343114,16.20825217909237,0.0,2025-01-03 17:46:05.997377169+00:00,421.7740641704153,159.35344005343114,215.03215567054764,0.0
2024-12-23 15:52:30+00:00,148.3873901379082,159.7392414822602,16.09428344344611,0.0,2025-01-03 10:57:31.071026099+00:00,423.44696784101257,159.7392414822602,215.03215567054764,0.0
2024-12-23 16:07:30+00:00,147.64530030671273,160.13263985309186,15.98050405916524,0.0,2025-01-03 12:39:35.106578843+00:00,424.8387233360041,160.13263985309186,215.03215567054764,0.0
2024-12-23 16:22:30+00:00,184.07722338787732,160.53378550484186,15.866926997147935,0.0,2025-01-01 09:27:53.487664304+00:00,426.56744929303704,160.53378550484186,215.03215567054764,0.0
2024-12-23 16:37:30+00:00,162.66020540070025,160.94283170835746,15.75356571230076,0.0,2025-01-02 13:22:47.348871093+00:00,428.0094731028806,160.94283170835746,215.03215567054764,0.0
2024-12-23 16:52:30+00:00,150.50665838412857,161.35993469299513,15.640434154858928,0.0,2025-01-03 08:53:35.673450981+00:00,429.7952272102197,161.35993469299513,215.03215567054764,0.0
2024-12-23 17:07:30+00:00,172.47812502029973,161.78525366479602,15.527546783113314,0.0,2025-01-02 00:39:22.808575885+00:00,431.3291975768519,161.78525366479602,215.03215567054764,0.0
2024-12-23 17:22:30+00:00,151.95869084132468,162.21895076769235,15.414918591722252,0.0,2025-01-03 07:14:01.209952255+00:00,433.1122970920208,162.21895076769235,215.03215567054764,0.0
2024-12-23 17:37:30+00:00,165.05719649480653,162.66119110429116,15.30256511910402,0.0,2025-01-02 11:28:10.762459645+00:00,435.2542236340856,162.66119110429116,215.03215567054764,0.0
2024-12-23 17:52:30+00:00,154.47062934347946,163.11214270986406,15.190502468738842,0.0,2025-01-03 03:53:10.601397130+00:00,437.0986651177725,163.11214270986406,215.03215567054764,0.0
2024-12-23 18:07:30+00:00,165.92634936307593,163.57197650072206,15.078747336493445,0.0,2025-01-02 11:00:19.473636823+00:00,439.31003256510104,163.57197650072206,215.03215567054764,0.0
2024-12-23 18:22:30+00:00,152.73129634662422,164.0408662819562,14.967317012892009,0.0,2025-01-03 07:30:57.057449771+00:00,441.21707675560157,164.0408662819562,215.03215567054764,0.0
2024-12-23 18:37:30+00:00,149.6385025626368,164.51898866465743,14.856229417015564,0.0,2025-01-03 13:08:28.817815213+00:00,443.15404417662785,164.51898866465743,215.03215567054764,0.0
2024-12-23 18:52:30+00:00,146.5077454672516,165.0065230090081,14.74550311542001,0.0,2025-01-03 19:03:42.066109627+00:00,445.76832265956847,165.0065230090081,215.03215567054764,0.0
2024-12-23 19:07:30+00:00,148.71478404344464,165.50365138594802,14.6351573284869,0.0,2025-01-03 15:32:03.652288958+00:00,448.0800654702037,165.50365138594802,215.03215567054764,0.0
2024-12-23 19:22:30+00:00,185.15743293085376,166.0105584496174,14.525211970684913,0.0,2025-01-01 12:38:43.378124590+00:00,450.78568470814577,166.0105584496174,215.03215567054764,0.0
2024-12-23 19:37:30+00:00,182.15963051259232,166.52743136584445,14.415687657304485,0.0,2025-01-01 16:27:19.942327343+00:00,453.1730674317774,166.52743136584448,215.03215567054764,0.0
2024-12-23 19:52:30+00:00,173.99930116084948,167.05445969714137,14.306605726351604,0.0,2025-01-02 02:48:29.344575102+00:00,455.596672236243,167.05445969714137,215.03215567054764,0.0
2024-12-23 20:07:30+00:00,214.0688436629142,167.5918352439214,14.197988274082997,0.0,2024-12-31 09:25:38.769962866+00:00,458.5891948617769,167.5918352439214,215.03215567054764,0.0
2024-12-23 20:22:30+00:00,200.221299064332,168.13975193321892,14.089858151441645,0.0,2024-12-31 22:19:15.221109494+00:00,461.44332610154663,168.13975193321892,215.03215567054764,0.0
2024-12-23 20:37:30+00:00,207.61060912155796,168.69840561508167,13.982239008186774,0.0,2024-12-31 15:46:05.219149080+00:00,464.72252803466904,168.69840561508167,215.03215567054764,0.0
2024-12-23 20:52:30+00:00,213.14205846954223,169.26799387904023,13.87515530530189,0.0,2024-12-31 11:15:30.527367382+00:00,467.6666932238189,169.26799387904023,215.03215567054764,0.0
2024-12-23 21:07:30+00:00,242.08440786524883,169.84871585057832,13.768632327797013,0.0,2024-12-30 13:47:19.308193241+00:00,471.0477380593968,169.84871585057832,215.03215567054764,0.0
2024-12-23 21:22:30+00:00,273.7741196567923,170.44077192606764,13.662696227327013,0.0,2024-12-29 19:30:59.189715489+00:00,474.2761015267538,170.44077192606764,215.03215567054764,0.0
2024-12-23 21:37:30+00:00,265.76590036571974,171.04436352810262,13.557374015516857,0.0,2024-12-30 00:07:34.025138375+00:00,477.76146892365443,171.04436352810262,215.03215567054764,0.0
2024-12-23 21:52:30+00:00,246.96587335481615,171.65969279442578,13.452693606198348,0.0,2024-12-30 11:36:37.005957323+00:00,481.7076616923152,171.65969279442578,215.03215567054764,0.0
2024-12-23 22:07:30+00:00,325.9407240798821,172.28696225336168,13.348683827622562,0.0,2024-12-28 21:42:10.700922586+00:00,485.2974259250199,172.28696225336168,215.03215567054764,0.0
2024-12-23 22:22:30+00:00,245.28039599072383,172.92637447096894,13.245374431570054,0.0,2024-12-30 13:21:27.072194167+00:00,489.362162216047,172.92637447096894,215.03215567054764,0.0
2024-12-23 22:37:30+00:00,206.7095644844968,173.57813164875677,13.142796136306387,0.0,2024-12-31 19:22:07.158099792+00:00,493.5023827018568,173.57813164875677,215.03215567054764,0.0
2024-12-23 22:52:30+00:00,210.29806959819763,174.24243519957798,13.040980609955392,0.0,2024-12-31 16:29:29.450412199+00:00,497.7272054228932,174.24243519957798,215.03215567054764,0.0
2024-12-23 23:07:30+00:00,205.4492114689531,174.9194852794434,12.939960518033445,0.0,2024-12-31 21:13:02.342588964+00:00,502.4542168175601,174.9194852794434,215.03215567054764,0.0
2024-12-23 23:22:30+00:00,197.36778125354553,175.60948027506353,12.839769518558578,0.0,2025-01-01 05:20:56.208442579+00:00,506.7956653941679,175.60948027506353,215.03215567054764,0.0
