encounter,streakline,start_longitude_deg,end_longitude_deg
14,12,226.0020326917304,307.6813741201465
14,13,222.78509545439545,302.45682717300394
14,14,213.94323083688016,290.8920387169843
14,15,207.913939317732,288.40155854602176
14,16,204.6972212777198,284.4766115681787
14,17,198.66807699076332,272.4946876631353
14,18,353.7137698268691,47.27187533615562
15,1,276.633115420252,345.7271259944807
15,2,273.4171478669591,344.02673102703056
15,3,68.38370962477535,126.38891091805822
15,4,65.16381497186217,122.15763423852877
15,5,56.3187907772687,115.27371173132875
15,6,50.2861341870821,111.47864372946904
15,7,44.25334222465983,107.01044745177731
15,8,38.22041182859601,104.63269605285015
15,9,34.99983989555744,75.18274107365566
15,10,28.966623322802207,71.54009591653603
15,11,22.933259050455604,68.30966327504802
15,12,16.899744100792134,66.51618163398138
15,13,10.86607561290515,65.2188855706343
15,14,4.832250870603048,45.12777914891159
15,15,358.7982673252351,41.36950377368739
16,1,141.76788767528416,191.0966701585795
16,2,135.7104318858984,189.84867294389275
16,3,129.65299313720692,188.54776294851064
16,4,123.59557426886596,185.95585728976656
16,5,117.53817829587695,183.1646474493141
16,6,108.66830839581178,179.9474257293235
16,7,105.42346788655328,175.06830727532937
16,8,99.36616019714256,161.53334951379955
16,9,93.30888883190329,152.37320942301497
16,10,87.25165732860245,148.50296567681025
16,11,81.19446921273561,138.23478075421136
16,12,75.13732795174906,136.04811105968116
16,13,69.08023690900711,122.0585798031047
16,14,63.023199302185276,119.61903953933137
16,15,56.96621816706761,114.86030787784065
16,16,50.90929632848787,107.48314635457855
16,17,44.852436379684605,103.31595779611794
16,18,38.79564066891021,101.01226048504981
16,19,32.73891129549929,95.9589248153631
16,20,26.682250111453186,92.66561011401892
16,21,17.813158729138365,88.78505093128348
16,22,11.756638533189175,84.3748966260358
16,23,5.700190695340552,82.18875063706881
16,24,359.6438161900233,79.78299937662621
17,1,212.48825431076114,261.68416769015096
17,2,206.44644713195737,255.74463371384388
17,3,200.40473805663214,253.90267319388488
17,4,194.36312523961942,249.40944769209102
17,5,188.32160682107803,244.9023814363013
17,6,182.28018093434173,231.7522951770156
17,7,176.23884571390806,226.93188796685928
17,8,170.19759930395105,223.06859991220864
17,9,164.15643986716225,219.04018474886692
17,10,158.1153655934612,213.8602772768701
17,11,152.07437471090077,208.82313672750857
17,12,146.0334654955027,203.04722784142277
17,13,139.99263628282677,190.14788599680568
17,14,133.95188547992797,185.87656876470697
17,15,127.91121157831122,181.69669130414547
17,16,121.87061316759872,179.2750145814762
17,17,115.83008894970305,159.65143719204545
17,18,109.78963775486733,157.62669365415573
17,19,103.74925855751133,156.42236240066126
17,20,94.89645049311588,155.3671973618299
17,21,88.85621287572349,154.28359966209769
17,22,82.81604521514714,151.08915933419954
17,23,76.77594723243908,146.50738367967142
17,24,70.73591887496173,142.5166956560026
17,25,64.69596032604511,140.63346032604517
17,26,58.656072010695596,117.43124727936083
17,27,55.42875459477949,112.29396683966958
17,28,46.5765089763118,110.72525696341864
17,29,40.53683626882548,109.29012136072193
17,30,34.497237775410554,106.48556782926538
18,1,289.5087950234896,359.8639159460415
18,2,283.4807501063873,354.84062635864944
18,3,277.45276091509686,349.1354417758322
18,4,271.4248287306697,341.01440489852007
18,5,262.5844547625561,336.06380887480924
18,6,256.5566401397631,333.2200734307247
18,7,250.5288859040959,331.4010897783922
18,8,247.3136930050606,299.91019352814226
18,9,241.28606229682532,297.8928856453347
18,10,235.25849453560716,295.8262799125867
18,11,229.2309903800308,284.26061144876786
18,12,223.20355039070296,277.1631180374235
18,13,217.1761750310942,272.5848696568542
18,14,211.14886466855637,268.9368505667469
18,15,205.12161957506203,265.3314550490379
18,16,199.09443992706292,261.0163662569466
18,17,193.06732580582445,257.06832435482715
18,18,187.0402771955712,255.06827070961512
18,19,181.0132939809473,249.4710256636352
19,1,113.62340508868158,170.07169346289976
19,2,107.58628274589552,157.27413627732759
19,3,101.54901261689264,154.21892775429438
19,4,95.51159480869308,150.92052664679466
19,5,86.6615293132408,147.53825828554542
19,6,80.62381599090253,143.75820425968078
19,7,74.5859545549298,140.98685321942145
19,8,71.3604445533249,122.10852654756802
19,9,65.32228535184134,114.46547728968106
19,10,59.283976117950374,108.41349350673708
19,11,53.245515807623065,104.99005316844354
19,12,47.20690315641093,100.65374417899659
19,13,41.168136676005815,96.00470260573111
19,14,35.129214659797185,92.78843243003067
19,15,26.27763519555367,89.4192935713432
19,16,20.23839618840327,87.38458665474347
19,17,14.19899539234774,85.57649897495409
19,18,8.159430449965441,77.05406918164255
19,19,4.932198937571741,50.146123916494744
19,20,358.89229841540487,44.32987995750174
20,1,251.18967143132954,298.2928711656202
20,2,245.13262197146673,294.2712236013601
20,3,239.0755242060543,289.42860982499207
20,4,233.01837911472217,284.27457588757653
20,5,226.9611877899863,280.1483686876788
20,6,220.90395143157446,277.4286620429725
20,7,214.84667134111328,275.4863416736923
20,8,208.7893489175001,273.77607535461283
20,9,202.73198565252926,263.1900468999201
20,10,196.67458312911708,260.8660757784325
20,11,190.61714301913253,254.47702594677767
20,12,181.74716708307085,252.10653687789048
20,13,175.68965717090043,250.0371527520211
20,14,169.63211522380357,248.58886117324244
20,15,166.3870432771057,246.18085564407198
20,16,157.5169434630452,234.76208827583355
20,17,151.45931801564177,231.65027461596486
20,18,145.40166927395933,222.5189913437606
20,19,139.34399968582932,210.4487562028674
20,20,136.09881181065884,189.01557847919725
20,21,130.04110832083546,185.4385566558289
20,22,123.98339200159444,183.42433293314744
20,23,115.11316574739675,182.67186420420222
20,24,111.86793255730208,180.2598771495109
20,25,102.99769552536031,176.73263489691203
20,26,96.93995782834611,174.68161563283925
20,27,93.69472270982214,173.51930553458723
20,28,90.44949346072116,172.08205842827712
20,29,78.76677339621142,157.86902454994745
21,1,282.12196420517,359.2101301943774
21,2,276.0822302049295,350.67323032086597
21,3,270.0425979179819,343.90896412205933
21,4,264.0030662808566,336.3840423245521
21,5,257.963634116433,332.4599508911431
21,6,251.92430014654974,328.8998547041097
21,7,245.88506300324093,323.6233267948674
21,8,239.84592123920208,310.99551205876435
21,9,233.80687333647597,295.45274128730597
21,10,227.7679177157206,293.4926865082944
