time,longitude,radius,latitude,Vr,Time_days,Times_Earth,Vr_pred_Earth,Lon-L1,Lat-L1,Vr_obs_Earth,SpiralOrigin_Lon_deg,SpiralOrigin_Rs,SpiralOrigin_Lat_deg
2018-11-05 21:37:30+00:00,326.4345148913802,35.72208492928348,-3.994381785453914,292.0953605471485,10.263761574074074,2018-11-09 21:37:30+00:00,744.1536248975472,174.9479096030001,3.4606695537309204,462.3302726766833,324.1973453257629,30.0,-3.994381785453914
2018-11-05 21:52:30+00:00,326.4847773495953,35.71808220216465,-3.9972231767997743,298.89466314825785,10.27417824074074,2018-11-09 21:52:30+00:00,744.1536248975472,174.81057808691617,3.4595069870912947,471.3940396692901,324.30002861827006,30.0,-3.9972231767997743
2018-11-05 22:07:30+00:00,326.53508465446953,35.71425398062445,-4.000017585569296,299.3651596656605,10.284594907407408,2018-11-09 22:07:30+00:00,744.1563427947342,174.6732465936352,3.4583443014725663,473.2976678302221,324.3552299554031,30.0,-4.000017585569296
2018-11-05 22:22:30+00:00,326.58543486265694,35.71060034761368,-4.002764920296048,315.45085062405593,10.295011574074074,2018-11-09 22:22:30+00:00,744.159151662774,174.53591512318522,3.457181496912717,470.3863582160744,324.51805954628105,30.0,-4.002764920296048
2018-11-05 22:37:30+00:00,326.6358260278597,35.707121382337206,-4.005465091852688,311.59705278027485,10.30542824074074,2018-11-09 22:37:30+00:00,744.159151662774,174.3985836755073,3.456018573449734,469.6212437395659,324.54415668897855,30.0,-4.005465091852688
2018-11-05 22:52:30+00:00,326.6862562010776,35.703817160248946,-4.00811801346136,308.31560665625506,10.315844907407408,2018-11-09 22:52:30+00:00,744.1620432011357,174.2612522506003,3.4548555311215874,470.695206296208,324.5735488245549,30.0,-4.00811801346136
2018-11-05 23:07:30+00:00,326.73672343071144,35.7006877530452,-4.010723600704377,311.2004176614549,10.326261574074074,2018-11-09 23:07:30+00:00,744.1650099685686,174.12392084844896,3.453692369966274,473.2136894824708,324.64474913173586,30.0,-4.010723600704377
2018-11-05 23:22:30+00:00,326.7872257626837,35.697733228656155,-4.013281771534119,318.6385912003877,10.33667824074074,2018-11-09 23:22:30+00:00,744.1650099685686,173.98658946902322,3.45252909002179,471.6827152396852,324.74514459483737,30.0,-4.013281771534119
2018-11-05 23:37:30+00:00,326.83776124054214,35.69495365124214,-4.01579244628265,336.0297053059447,10.347094907407408,2018-11-09 23:37:30+00:00,744.168045117541,173.8492581123368,3.451365691326111,470.3712536767629,324.9023120045936,30.0,-4.01579244628265
2018-11-05 23:52:30+00:00,326.8883279056094,35.69234908118642,-4.0182555476712665,325.28038566866724,10.357511574074074,2018-11-09 23:52:30+00:00,744.1711421061507,173.71192677837465,3.45020217391721,471.5734557595993,324.889833618932,30.0,-4.0182555476712665
2018-11-06 00:07:30+00:00,326.93892379715874,35.689919575090556,-4.02067100082032,343.98995837347394,10.36792824074074,2018-11-10 00:07:30+00:00,744.1711421061507,173.57459546709202,3.449038537833101,470.44230463470865,325.0499339447055,30.0,-4.02067100082032
2018-11-06 00:22:30+00:00,326.98954695247903,35.687665185768985,-4.023038733259028,339.7655366471,10.378344907407408,2018-11-10 00:22:30+00:00,744.1742944111566,173.43726417848833,3.447874783111756,462.2086594540684,325.07782837739813,30.0,-4.023038733259028
2018-11-06 00:37:30+00:00,327.0401954070027,35.68558596224408,-4.025358674929447,318.5475722128845,10.388761574074074,2018-11-10 00:37:30+00:00,744.1742944111566,173.29993291254848,3.4467109097911557,459.389458621512,325.0018856059994,30.0,-4.025358674929447
2018-11-06 00:52:30+00:00,327.090867194477,35.683681949742855,-4.027630758196436,351.86883850079226,10.39917824074074,2018-11-10 00:52:30+00:00,744.1774952635271,173.16260166925696,3.4455469179093012,447.688856427379,325.2461991599786,30.0,-4.027630758196436
2018-11-06 01:07:30+00:00,327.14156034704894,35.68195318969079,-4.029854917856408,365.4133831176214,10.409594907407408,2018-11-10 01:07:30+00:00,744.1807374244318,173.0252704485988,3.4443828075041716,440.9770252007314,325.36580772587024,30.0,-4.029854917856408
2018-11-06 01:22:30+00:00,327.1922728954522,35.6803997197099,-4.032031091143239,337.080444140308,10.420011574074074,2018-11-10 01:22:30+00:00,744.1807374244318,172.8879392505733,3.4432185786137675,452.6780745687256,325.26778757866845,30.0,-4.032031091143239
2018-11-06 01:37:30+00:00,327.2430028690789,35.67902157361475,-4.0341592177370424,342.9021487425279,10.43042824074074,2018-11-10 01:37:30+00:00,744.1840130152661,172.75060807512196,3.4420542312760376,468.593489148581,325.3516499502572,30.0,-4.0341592177370424
2018-11-06 01:52:30+00:00,327.29374829614295,35.677818781409094,-4.036239239769164,351.57841882120243,10.440844907407408,2018-11-10 01:52:30+00:00,744.1873134104807,172.6132769222874,3.4408897655290116,488.91903171953254,325.4494609755511,30.0,-4.036239239769164
2018-11-06 02:07:30+00:00,327.3445072038373,35.67679136928368,-4.038271101829868,344.2163707188749,10.451261574074074,2018-11-10 02:07:30+00:00,744.1873134104807,172.4759457920113,3.4397251814106684,502.5586294618014,325.461115407701,30.0,-4.038271101829868
2018-11-06 02:22:30+00:00,327.3952776183713,35.67593935961333,-4.040254750972982,347.03437180246647,10.46167824074074,2018-11-10 02:22:30+00:00,744.1906291970716,172.3386146842931,3.438560478958981,503.3177816201606,325.5274597848549,30.0,-4.040254750972982
2018-11-06 02:37:30+00:00,327.44605756524055,35.675262770955996,-4.0421901367227315,322.63594085380396,10.472094907407408,2018-11-10 02:37:30+00:00,744.1939501999249,172.2012835991323,3.4373956582119476,507.50854598934734,325.4372307749142,30.0,-4.0421901367227315
2018-11-06 02:52:30+00:00,327.4968450692638,35.67476161804922,-4.044077211078607,367.6917846949216,10.482511574074074,2018-11-10 02:52:30+00:00,744.1939501999249,172.06395253648478,3.4362307192075567,503.78813173470934,325.7343295157308,30.0,-4.044077211078607
2018-11-06 03:07:30+00:00,327.54763815471387,35.67443591181061,-4.045915928519531,368.4063234008708,10.49292824074074,2018-11-10 03:07:30+00:00,744.1972655680855,171.92662149636487,3.435065661983802,501.27975287094654,325.78864203454395,30.0,-4.045915928519531
2018-11-06 03:22:30+00:00,327.59843484553613,35.674285659336164,-4.047706246009387,352.46677814897276,10.503344907407408,2018-11-10 03:22:30+00:00,744.2005639136494,171.789290478714,3.433900486578661,503.9987280387947,325.75994062501996,30.0,-4.047706246009387
2018-11-06 03:37:30+00:00,327.6492331653446,35.67431086389926,-4.049448123000514,344.63089462281664,10.513761574074074,2018-11-10 03:37:30+00:00,744.2005639136494,171.65195948357527,3.432735193030127,500.9141498457024,325.76892869164936,30.0,-4.049448123000514
2018-11-06 03:52:30+00:00,327.70003113766836,35.67451152495161,-4.051141521437859,312.0812465219811,10.52417824074074,2018-11-10 03:52:30+00:00,744.2038334924957,171.51462851090503,3.431569781376197,506.62910406232606,325.62354004500014,30.0,-4.051141521437859
2018-11-06 04:07:30+00:00,327.75082678606526,35.67488763812073,-4.052786405762225,312.32568509622075,10.534594907407408,2018-11-10 04:07:30+00:00,744.207062414539,171.3772975606736,3.4304042516548727,499.9145401065267,325.6758233138779,30.0,-4.052786405762225
2018-11-06 04:22:30+00:00,327.80161813416277,35.67543919521384,-4.05438274291353,311.53934718784177,10.545011574074074,2018-11-10 04:22:30+00:00,744.207062414539,171.23996663289557,3.429238603904116,501.2246601478655,325.7211750852941,30.0,-4.05438274291353
2018-11-06 04:37:30+00:00,327.8524032059504,35.67616618421552,-4.05593050233369,307.96575807077176,10.55542824074074,2018-11-10 04:37:30+00:00,744.2102388705547,171.1026357275269,3.428072838161935,488.3625486922649,325.7475494192356,30.0,-4.05593050233369
2018-11-06 04:52:30+00:00,327.90318002577726,35.67706858929083,-4.057429655968616,303.8576065782608,10.565844907407408,2018-11-10 04:52:30+00:00,744.2102388705547,170.96530484458208,3.4269069544663093,477.3863031792915,325.76952948214415,30.0,-4.057429655968616
2018-11-06 05:07:30+00:00,327.9539466185057,35.67814639078559,-4.0588801782704405,304.6337309494318,10.576261574074074,2018-11-10 05:07:30+00:00,744.2133513628546,170.8279739840318,3.4257409528552474,476.9906192861118,325.8253279942071,30.0,-4.0588801782704405
2018-11-06 05:22:30+00:00,328.0047010097415,35.67939956522862,-4.060282046199225,294.81427378964946,10.58667824074074,2018-11-10 05:22:30+00:00,744.2163889280154,170.69064314586151,3.4245748333667176,481.9840200839783,325.8046984843773,30.0,-4.060282046199225
2018-11-06 05:37:30+00:00,328.05544122580045,35.68082808533398,-4.061635239223988,329.910228353871,10.597094907407408,2018-11-10 05:37:30+00:00,744.2163889280154,170.55331233005643,3.423408596038741,477.98712139279746,326.0889811731066,30.0,-4.061635239223988
2018-11-06 05:52:30+00:00,328.1061652939838,35.682431920002315,-4.062939739324122,351.7662339531403,10.607511574074074,2018-11-10 05:52:30+00:00,744.2193413413542,170.41598153660206,3.4222422409092963,477.6377295492488,326.2613650213957,30.0,-4.062939739324122
2018-11-06 06:07:30+00:00,328.1568712426956,35.68421103432608,-4.064195530989453,320.6470108911678,10.61792824074074,2018-11-10 06:07:30+00:00,744.2221992947262,170.2786507654692,3.4210757680163733,484.0428491930997,326.1323969810671,30.0,-4.064195530989453
2018-11-06 06:22:30+00:00,328.2075571014622,35.68616538959001,-4.065402601220838,301.8222575259842,10.628344907407408,2018-11-10 06:22:30+00:00,744.2221992947262,170.14132001667255,3.4199091773979524,492.5441211543048,326.05607624337625,30.0,-4.065402601220838
